"","Year","iso","cp"
"1101",2015,320,48.80040432
"1102",2016,508,25.3
"1103",2015,646,46.64303949
"1104",2017,710,54
"1105",2016,716,65.77097081
"1106",2016,24,12.53167678
"1107",2016,51,27.99093638
"1108",2016,231,35.18920342
"1109",2018,288,25
"1110",2017,332,31.81359482
"1111",2014,604,51.3
"1112",2008,360,56.1
"1113",2008,360,55.2
"1114",2006,360,56.5
"1115",2010,360,58.8
"1116",2010,360,59.5
"1117",2012,360,59.4
"1118",2012,360,60.6
"1119",2014,360,60.5
"1120",2005,356,NA
"1121",2010,232,7.1
"1122",2016,454,58.05745743
"1123",2015,604,52.2
"1124",2015,686,21.11548802
"1125",2016,834,31.98394171
"1126",2015,480,31.1
"1127",2016,360,60.7
"1128",2006,124,NA
"1129",2015,854,18.0222747
"1130",2016,360,59.49421365
"1131",2015,288,29.08218111
"1132",2015,404,55.74714212
"1133",2014,800,25.82533258
"1134",2015,800,31.91963597
"1135",2010,218,71.5
"1136",2015,231,35.97606151
"1137",2012,36,65.12
"1138",2013,32,68.93258395
"1139",2014,76,77.67249424
"1140",2013,344,NA
"1141",2011,643,54.4
"1142",2014,528,NA
"1143",2009,348,54.1
"1144",2015,620,NA
"1145",2015,882,24.3
"1146",2008,296,NA
"1147",2012,756,69.2154
"1148",2016,704,64.97822299
"1149",2013,40,63.01042287
"1150",2009,36,59.21
"1151",1986,276,67.6
"1152",2003,826,73
"1153",1996,826,69
"1154",2013,108,30
"1155",2010,108,19.6
"1156",2016,404,62.41173371
"1157",2016,360,59.1
"1158",2018,204,12.4
"1159",2017,108,22.47711239
"1160",2017,430,30.7
"1161",2016,104,51.27508589
"1162",2017,524,42.79042704
"1163",2017,144,53.6
"1164",2017,626,23.67288287
"1165",2017,800,34.38731262
"1166",2016,854,24.21997446
"1167",2016,800,32.50772351
"1168",2016,231,37.45284856
"1169",2016,562,14.83618089
"1170",2015,408,76.5
"1171",2016,858,78.27421963
"1172",2016,566,16.71385884
"1173",2014,434,16.3
"1174",2016,682,20.85437997
"1175",2016,484,65.03784485
"1176",2016,36,64.65
"1177",2013,56,65.90758983
"1178",2014,231,40.4
"1179",2018,418,49
"1180",2017,288,26.30086898
"1181",2018,400,37.4
"1182",2018,562,10.5
"1183",2018,586,25
"1184",2018,608,40.28249919
"1185",2016,686,23.01135006
"1186",2018,762,27.12189182
"1187",2013,450,33.3
"1188",2014,840,63.10395558
"1189",1954,392,NA
"1190",1952,392,NA
"1191",2014,586,NA
"1192",2011,616,41.3
"1193",2014,392,39.0344488
"1194",2012,410,NA
"1195",2016,410,NA
"1196",2018,8,3.653840429
"1197",2017,360,58.80071388
"1198",2017,231,35.38584781
"1199",2017,800,34.5098703
"1200",2017,566,16.71769346
"1201",2017,854,24.51774495
"1202",2017,404,59.83443095
"1203",2017,68,45.1
"1204",2007,643,49.8
"1205",2016,152,69.84474857
"1206",2017,600,66.43722314
"1207",2018,288,27.4
"1208",2017,112,60.5
"1209",2016,360,58.2
"1210",2017,724,69.9
"1211",2014,724,71.7
"1212",2014,380,51.8
"1213",2018,156,80.5
"1214",1992,246,75.48076923
"1215",2008,246,68.88888889
"1216",2016,246,81.56424581
"1217",2018,562,18.15421232
"1218",2013,4,NA
"1219",2015,90,24.3
"1220",2016,604,53.3
"1221",2016,604,54.3
"1222",2011,276,80.2
"1223",2012,31,13.9
"1224",2004,434,23.7
"1225",2018,686,26.21544594
"1226",2018,504,58
"1227",2018,604,54.5
"1228",2018,450,38.9
"1229",2016,188,74.9
"1230",2018,384,18.9989171
"1231",2018,566,19.19371674
"1232",2019,384,19.6
"1233",2018,854,30.13871699
"1234",2018,231,37.8
"1235",2018,404,59.03247605
"1236",2018,800,36.3
"1237",2015,728,NA
"1238",2011,728,NA
"1239",2016,840,67.71881122
"1240",2010,372,70.90694935
"1241",2018,398,51.91298
"1242",2014,616,NA
