"","Year","iso","cp"
"260",1993,450,5.125120848
"261",2006,178,12.65123605
"262",2003,214,65.80904034
"263",1987,214,46.46585522
"264",1987,170,52.44390936
"265",2001,466,6.978909793
"266",1996,466,4.482200192
"267",1987,108,1.232876243
"268",2005,646,9.810457358
"269",1987,144,40.61031945
"270",2004,710,59.9
"271",1998,710,55.11497473
"272",1995,800,7.804617386
"273",1998,400,37.6814804
"274",2003,400,41.21823829
"275",1991,400,26.86216601
"276",1984,400,20.8
"277",1998,450,9.749364996
"278",1993,686,4.786516854
"279",1992,562,2.252852108
"280",1995,140,3.234014813
"281",1987,484,44.64416497
"282",2004,450,18.3087983
"283",1998,768,6.973777965
"284",2006,562,9.674658197
"285",2001,266,13.39699492
"286",1992,324,1
"287",1999,324,4.216703363
"288",2005,324,5.670142637
"289",1987,780,44.4401987
"290",1991,566,3.54365803
"291",2003,704,56.68040376
"292",2003,704,63.3
"293",2004,704,64.6
"294",2006,704,67.1
"295",2002,704,64.7
"296",2005,704,65.8
"297",2001,704,61.1
"298",2000,704,61.1
"299",1999,288,13.2978921
"300",2004,288,18.6649293
"301",1988,288,5.164765526
"302",1994,288,10.11235955
"303",2004,792,43.82076642
"304",1999,792,37.73459388
"305",1994,792,34.51613846
"306",2004,508,20.78313404
"307",2002,558,66.13077545
"308",2002,204,7.18321174
"309",2005,148,1.783983411
"310",1988,320,18.98134439
"311",1995,332,13.23475755
"312",2000,332,22.84480408
"313",1998,68,25.21416154
"314",1997,508,5.07300581
"315",1989,68,12.24721146
"316",1994,68,17.78006253
"317",1996,320,26.85656102
"318",1987,604,23.03448276
"319",1992,604,32.80153268
"320",1997,604,41.34692954
"321",2001,604,50.42200432
"322",1998,558,57.38549309
"323",1993,854,4.185773992
"324",1999,854,4.829604657
"325",1999,384,7.250900583
"326",1995,384,4.312885111
"327",1997,204,3.424739737
"328",1997,860,51.31106004
"329",1998,417,48.88308257
"330",1987,764,63.63594614
"331",1987,466,1.284458372
"332",2006,332,24.8366314
"333",2004,120,13.04281671
"334",2004,854,8.766270355
"335",2006,340,56.36006661
"336",1993,356,36.30376445
"337",1999,356,42.84946388
"338",2004,356,45.7
"339",2006,356,48.53359013
"340",2001,795,53.1
"341",1986,686,2.378121284
"342",1997,686,8.126650667
"343",1987,504,28.96526374
"344",1992,504,35.54122704
"345",1991,120,4.280824244
"346",1993,516,26.02881542
"347",2001,524,35.39140314
"348",1996,524,26.01652153
"349",1986,430,5.542273113
"350",1989,72,31.7
"351",1989,800,2.514523701
"352",2005,818,56.49631886
"353",2001,516,42.64251294
"354",2005,426,35.17932121
"355",2003,860,62.8
"356",2006,116,27.15926691
"357",2004,50,47.28889795
"358",1994,50,36.20771179
"359",1997,50,41.56279832
"360",2000,50,43.46984538
"361",2006,498,43.84448762
"362",1998,704,55.78383376
"363",1989,404,17.8710205
"364",1993,404,27.29654491
"365",1998,404,31.46706905
"366",2000,116,18.75651116
"367",1996,398,46.06082622
"368",1991,586,9.014487109
"369",1999,566,8.481497926
"370",1996,818,45.51623678
"371",2000,818,53.87602671
"372",1989,818,35.46485429
"373",1993,818,44.76974658
"374",2001,454,26.11808377
"375",1993,454,7.359563263
"376",1996,232,3.986109951
"377",1993,608,24.85387147
"378",1998,608,28.06253633
"379",2005,834,19.98358467
"380",2007,50,47.45693037
"381",1997,586,16.9
"382",2001,586,20.21
"383",2006,51,19.47972704
"384",2004,68,34.91178631
"385",2007,454,38.63413272
"386",2001,51,22.25455733
"387",2002,232,7.264819801
"388",2004,608,33.19714246
"389",2006,524,44.21387789
"390",1989,788,40.37886341
"391",2001,478,5.442855264
"392",1993,646,12.91329359
"393",2001,646,5.666335125
"394",1971,356,9.5
"395",2005,231,13.90384609
"396",2005,170,68.05935872
"397",1990,170,54.61284652
"398",2000,170,63.99894508
"399",1995,170,59.31989839
"400",1993,558,45.13692308
"401",2004,504,54.77575926
"402",2000,686,8.2
"403",1996,76,70.27654811
"404",1986,76,56.5226841
"405",1977,364,25.9
"406",2003,364,59.02949572
"407",2006,398,49.40031588
"408",2003,566,8.248005688
"409",2005,454,28.14600793
"410",2001,800,18.20418158
"411",2007,800,17.87138718
"412",2007,180,5.789838751
"413",2001,450,NA
"414",2007,328,32.98895053
"415",2000,624,4.438213411
"416",2001,148,6.297988633
"417",2000,706,1
"418",2001,678,27.98175495
"419",2006,268,21.62985376
"420",2006,804,58.40150885
"421",2000,108,10.03921569
"422",2006,8,24.82815703
"423",2000,270,8.7106588
"424",1997,24,4.0257
"425",2001,214,62.77780142
"426",2001,31,16.67446211
"427",2006,12,53.9
"428",2001,120,NA
"429",2006,780,38.10395145
"430",2000,496,58.82942473
"431",2001,860,63.63278946
"432",2006,740,45.02223907
"433",2000,426,29.58454618
"434",2000,226,5.575951546
"435",2007,262,17.68902115
"436",2000,562,11.16096246
"437",2001,762,28.28897338
"438",2003,4,8.7
"439",2000,704,56.22127778
"440",2000,72,42.1
"441",2007,704,60.8383657
"442",2001,68,30.49482773
"443",2001,748,26.21958361
"444",2001,422,40.4
"445",2000,140,11.55246449
"446",2002,180,7.707581475
"447",2000,694,3.931393264
"448",2002,24,4.864123817
"449",2000,780,33.29718004
"450",2001,328,36.29191262
"451",2001,174,20.96967572
"452",2000,8,17.45935432
"453",2000,740,40.7135833
"454",1989,768,3.099510604
"455",1992,894,8.892859256
"456",1991,586,NA
"457",1999,288,10.7
"458",2002,626,6.6
